,ID,Street_cat,House №,Metro_cat,Time to metro,District_cat,Photos count
611,273236957,79,15,28,60.0,6,17
612,253471228,83,31,28,5.0,6,6
613,273379718,78,4,28,3.0,6,14
614,274145015,73,5,28,50.0,6,20
615,240491648,80,7,28,20.0,6,11
616,274892824,75,14,28,50.0,6,10
617,271327416,73,15,28,25.0,6,7
618,274893828,83,29,28,1.0,6,33
619,274840087,77,39,28,18.0,6,14
620,189013762,76,20,28,9.0,6,12
621,274871346,77,17,28,8.0,6,12
622,270399044,78,9,28,2.0,6,21
623,274824203,77,8,28,6.0,6,8
624,274238770,82,32,28,7.0,6,9
625,274820050,75,26,28,15.0,6,19
626,274762717,77,1,28,1.0,6,11
627,238609045,82,46,28,10.0,6,10
628,245442147,82,48,31,32.0,6,50
629,274900146,75,26,28,21.0,6,0
630,274877624,76,13,28,10.0,6,17
631,274915752,73,21,28,27.0,6,16
632,273723329,82,54,28,15.0,6,39
633,270271044,75,12,28,32.0,6,9
634,274478715,77,3,28,1.0,6,11
635,274559889,77,18,28,11.0,6,11
636,273478469,77,55,28,25.0,6,16
637,274111253,79,14,28,15.0,6,18
638,205905112,74,13,28,30.0,6,10
639,265479694,82,60,31,150.0,6,18
640,168315026,82,32,28,5.0,6,20
641,274903488,74,9,28,20.0,6,35
642,273979260,74,9,28,20.0,6,19
643,274412530,82,46,28,16.0,6,11
644,238547332,74,6,28,27.0,6,17
645,273055238,74,11,28,15.0,6,14
646,274577031,77,17,28,8.0,6,15
647,274866620,78,17,28,10.0,6,19
648,272627418,74,9,28,20.0,6,21
649,273904419,75,12,28,30.0,6,26
650,274874883,74,17,28,20.0,6,18
651,271223261,82,56,28,150.0,6,22
652,274296179,73,21,28,25.0,6,14
653,270102208,82,56,28,25.0,6,36
654,266271208,78,1,28,1.0,6,16
655,274662423,78,21,28,7.0,6,13
656,274880511,77,20,28,10.0,6,14
657,274779213,74,6,28,20.0,6,15
658,263108783,79,14,28,16.0,6,6
659,274868306,79,10,28,18.0,6,7
660,267336499,77,18,28,13.0,6,7
661,269685442,73,9,28,85.0,6,11
662,274735353,77,51,28,15.0,6,14
663,274307711,75,6,32,119.0,7,27
664,274763091,73,15,28,33.0,6,17
665,261227514,82,42,28,13.0,6,11
666,207942010,79,10,28,10.0,6,9
667,271935277,82,48,28,12.0,6,10
668,273641609,77,43,28,21.0,6,11
669,274225778,74,5,28,26.0,6,7
670,274900161,74,11,28,20.0,6,21
671,271294529,79,5,28,18.0,6,15
672,274790358,73,13,28,35.0,6,32
673,273822288,82,46,28,16.0,6,12
674,274538528,73,27,28,21.0,6,6
675,274682622,76,13,28,11.0,6,20
676,273499901,79,11,28,22.0,6,27
677,274879921,76,4,28,9.0,6,18
678,274378802,73,3,28,75.0,6,16
679,213716341,74,17,28,50.0,6,13
680,271303789,77,30,28,18.0,6,5
681,274902321,82,40,28,13.0,6,36
682,274736174,82,46,28,17.0,6,12
683,274137270,82,42,28,12.0,6,28
684,274765201,82,54,31,28.0,6,33
